sales_date,order_id,customer_name,branch,product_name,category,color,price,quantity,payment_type,trade_in,discount,total,total_sales,status,branch_address
12/13/2025,TRX00001,Customer_913,Jakarta,Daihatsu Xenia 1.5 R CVT,MPV,Silver Metalik,240000000,1,Cash + Trade In,74000000,0,240000000,166000000,completed,"Jl. MT. Haryono No. 12, Jakarta"
10/15/2025,TRX00002,Customer_261,Jakarta,Toyota Rush 1.5 S GR Sport CVT,SUV,Hitam Metalik,300000000,1,Kredit,0,0,300000000,300000000,completed,"Jl. MT. Haryono No. 12, Jakarta"
1/4/2025,TRX00003,Customer_4465,Kendari,Honda BR-V 1.5 E CVT,MPV,Merah,310000000,1,Kredit + Trade In,111000000,0,310000000,199000000,completed,"Jl. Ahmad Yani No. 33, Kendari"
2/17/2025,TRX00004,Customer_2788,Padang,Honda Brio Satya E CVT,Hatchback,Merah,190000000,1,Kredit,0,0,190000000,190000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
10/2/2025,TRX00005,Customer_2941,Karawang,Isuzu D-Max Double Cabin 4x4 AT,Pickup,Hitam Metalik,520000000,1,Cash + Trade In,93000000,0,520000000,427000000,refund,"Jl. Ahmad Yani No. 5, Karawang"
7/5/2025,TRX00006,Customer_3101,Bandung,Wuling Air ev Long Range,City Car (EV),Abu-abu,250000000,1,Kredit,0,0,250000000,250000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
2/21/2025,TRX00007,Customer_570,Jakarta,Honda BR-V 1.5 E CVT,MPV,Hitam Metalik,310000000,2,Kredit + Trade In,224000000,0,620000000,396000000,completed,"Jl. MT. Haryono No. 12, Jakarta"
12/16/2025,TRX00008,Customer_2989,Pontianak,Mitsubishi Pajero Sport Dakar 4x2 AT,SUV,Putih Pearl,580000000,1,Kredit,0,0,580000000,580000000,completed,"Jl. Ahmad Yani No. 45, Pontianak"
11/24/2025,TRX00009,Customer_1402,Semarang,Honda BR-V 1.5 E CVT,MPV,Silver Metalik,310000000,1,Kredit,0,0,310000000,310000000,completed,"Jl. Setiabudi No. 60, Semarang"
7/25/2025,TRX00010,Customer_1800,Karawang,Toyota Innova Zenix 2.0 V CVT,MPV,Hitam Metalik,450000000,1,Kredit + Trade In,167000000,0,450000000,283000000,completed,"Jl. Ahmad Yani No. 5, Karawang"
3/15/2025,TRX00011,Customer_2578,Palembang,Hyundai Stargazer Prime AT,MPV,Hitam Phantom,300000000,1,Kredit,0,0,300000000,300000000,completed,"Jl. Kolonel H. Barlian No. 21, Palembang"
10/26/2025,TRX00012,Customer_2021,Semarang,Wuling Air ev Long Range,City Car (EV),Abu-abu,250000000,1,Kredit,0,0,250000000,250000000,completed,"Jl. Setiabudi No. 60, Semarang"
2/26/2025,TRX00013,Customer_1797,Pontianak,Wuling Almaz RS Pro AT,SUV,Hitam Metalik,320000000,1,Cash,0,0,320000000,320000000,completed,"Jl. Ahmad Yani No. 45, Pontianak"
8/28/2025,TRX00014,Customer_1311,Kendari,Isuzu D-Max Double Cabin 4x4 AT,Pickup,Putih,520000000,1,Kredit,0,0,520000000,520000000,completed,"Jl. Ahmad Yani No. 33, Kendari"
5/31/2025,TRX00015,Customer_95,Bandung,Wuling Air ev Long Range,City Car (EV),Abu-abu,250000000,1,Kredit,0,0,250000000,250000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
11/17/2025,TRX00016,Customer_3717,Jakarta,Daihatsu Xenia 1.5 R CVT,MPV,Silver Metalik,240000000,1,Cash,0,0,240000000,240000000,completed,"Jl. MT. Haryono No. 12, Jakarta"
9/29/2025,TRX00017,Customer_4159,Batam,Honda CR-V 1.5 Turbo RS,SUV,Putih Mutiara,650000000,1,Cash,0,0,650000000,650000000,cancelled,"Jl. Engku Putri No. 9, Batam"
6/7/2025,TRX00018,Customer_2656,Malang,Toyota Avanza 1.5 G CVT,MPV,Putih Mutiara,260000000,1,Kredit + Trade In,152000000,0,260000000,108000000,completed,"Jl. Soekarno Hatta No. 77, Malang"
3/6/2025,TRX00019,Customer_646,Bandung,Hyundai Stargazer Prime AT,MPV,Putih Atlas,300000000,2,Kredit,0,0,600000000,600000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
4/19/2025,TRX00020,Customer_3894,Semarang,Honda HR-V 1.5 E CVT,SUV,Silver Metalik,380000000,1,Kredit,0,0,380000000,380000000,cancelled,"Jl. Setiabudi No. 60, Semarang"
3/3/2025,TRX00021,Customer_1648,Padang,Suzuki Ertiga GX AT,MPV,Hitam Metalik,260000000,1,Kredit,0,1000000,260000000,259000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
12/29/2025,TRX00022,Customer_525,Karawang,Toyota Avanza 1.5 G CVT,MPV,Silver Metalik,260000000,1,Cash,0,0,260000000,260000000,completed,"Jl. Ahmad Yani No. 5, Karawang"
12/9/2025,TRX00023,Customer_1876,Bandung,Toyota Innova Zenix 2.0 V CVT,MPV,Abu-abu Metalik,450000000,1,Kredit,0,0,450000000,450000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
7/28/2025,TRX00024,Customer_4418,Pontianak,Nissan Livina VE AT,MPV,Hitam Metalik,260000000,1,Cash + Trade In,127000000,0,260000000,133000000,completed,"Jl. Ahmad Yani No. 45, Pontianak"
12/11/2025,TRX00025,Customer_3532,Karawang,Suzuki XL7 Beta AT,SUV,Silver Metalik,260000000,1,Cash + Trade In,80000000,0,260000000,180000000,completed,"Jl. Ahmad Yani No. 5, Karawang"
8/5/2025,TRX00026,Customer_2780,Bandung,Honda BR-V 1.5 E CVT,MPV,Silver Metalik,310000000,1,Kredit,0,0,310000000,310000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
2/20/2025,TRX00027,Customer_3790,Palembang,Toyota Rush 1.5 S GR Sport CVT,SUV,Silver Metalik,300000000,1,Kredit + Trade In,55000000,0,300000000,245000000,completed,"Jl. Kolonel H. Barlian No. 21, Palembang"
4/20/2025,TRX00028,Customer_4429,Jakarta,Toyota Rush 1.5 S GR Sport CVT,SUV,Hitam Metalik,300000000,1,Kredit,0,0,300000000,300000000,completed,"Jl. MT. Haryono No. 12, Jakarta"
8/21/2025,TRX00029,Customer_481,Pontianak,Suzuki Ertiga GX AT,MPV,Putih Mutiara,260000000,2,Kredit,0,0,520000000,520000000,completed,"Jl. Ahmad Yani No. 45, Pontianak"
10/5/2025,TRX00030,Customer_3987,Pontianak,Honda CR-V 1.5 Turbo RS,SUV,Hitam Metalik,650000000,1,Cash,0,0,650000000,650000000,completed,"Jl. Ahmad Yani No. 45, Pontianak"
3/22/2025,TRX00031,Customer_2570,Jakarta,Toyota Innova Zenix 2.0 V CVT,MPV,Merah Maroon,450000000,1,Kredit + Trade In,59000000,0,450000000,391000000,refund,"Jl. MT. Haryono No. 12, Jakarta"
3/3/2025,TRX00032,Customer_657,Pontianak,Toyota Rush 1.5 S GR Sport CVT,SUV,Putih Mutiara,300000000,1,Kredit,0,1000000,300000000,299000000,cancelled,"Jl. Ahmad Yani No. 45, Pontianak"
10/26/2025,TRX00033,Customer_2017,Batam,Isuzu D-Max Double Cabin 4x4 AT,Pickup,Putih,520000000,1,Kredit,0,0,520000000,520000000,completed,"Jl. Engku Putri No. 9, Batam"
7/22/2025,TRX00034,Customer_2592,Padang,Honda CR-V 1.5 Turbo RS,SUV,Abu-abu Metalik,650000000,1,Kredit,0,0,650000000,650000000,completed,"Jl. Khatib Sulaiman No. 10, Padang"
10/16/2025,TRX00035,Customer_2458,Malang,Mitsubishi Xpander Ultimate CVT,MPV,Putih Pearl,320000000,1,Kredit,0,0,320000000,320000000,refund,"Jl. Soekarno Hatta No. 77, Malang"
2/5/2025,TRX00036,Customer_601,Semarang,Honda CR-V 1.5 Turbo RS,SUV,Abu-abu Metalik,650000000,1,Kredit + Trade In,155000000,0,650000000,495000000,completed,"Jl. Setiabudi No. 60, Semarang"
12/1/2025,TRX00037,Customer_1293,Malang,Wuling Air ev Long Range,City Car (EV),Abu-abu,250000000,1,Kredit + Trade In,250000000,0,250000000,0,completed,"Jl. Soekarno Hatta No. 77, Malang"
10/11/2025,TRX00038,Customer_2453,Bandung,Honda Brio Satya E CVT,Hatchback,Kuning,190000000,1,Cash,0,0,190000000,190000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
5/16/2025,TRX00039,Customer_2309,Batam,Honda CR-V 1.5 Turbo RS,SUV,Abu-abu Metalik,650000000,1,Cash + Trade In,288000000,0,650000000,362000000,completed,"Jl. Engku Putri No. 9, Batam"
3/8/2025,TRX00040,Customer_417,Bandung,Suzuki XL7 Beta AT,SUV,Coklat Metalik,260000000,1,Kredit,0,0,260000000,260000000,completed,"Jl. Soekarno Hatta No. 88, Bandung"
12/20/2025,TRX00041,Customer_2146,Pontianak,Hyundai Creta Prime AT,SUV,Merah Fiery,320000000,1,Cash,0,0,320000000,320000000,cancelled,"Jl. Ahmad Yani No. 45, Pontianak"
1/22/2025,TRX00042,Customer_4470,Jakarta,Mitsubishi Pajero Sport Dakar 4x2 AT,SUV,Abu-abu Quartz,580000000,1,Kredit,0,0,580000000,580000000,completed,"Jl. MT. Haryono No. 12, Jakarta"
10/14/2025,TRX00043,Customer_327,Karawang,Honda CR-V 1.5 Turbo RS,SUV,Abu-abu Metalik,650000000,1,Cash,0,0,650000000,650000000,completed,"Jl. Ahmad Yani No. 5, Karawang"
4/1/2025,TRX00044,Customer_3330,Batam,Honda Brio Satya E CVT,Hatchback,Merah,190000000,1,Kredit + Trade In,190000000,0,190000000,0,completed,"Jl. Engku Putri No. 9, Batam"
7/15/2025,TRX00045,Customer_2722,Kendari,Honda BR-V 1.5 E CVT,MPV,Hitam Metalik,310000000,1,Cash + Trade In,49000000,0,310000000,261000000,completed,"Jl. Ahmad Yani No. 33, Kendari"
4/27/2025,TRX00046,Customer_1823,Palembang,Hyundai Creta Prime AT,SUV,Abu-abu Titanium,320000000,1,Cash + Trade In,144000000,0,320000000,176000000,completed,"Jl. Kolonel H. Barlian No. 21, Palembang"
